Codigo_IES;Nombre_IES;Departamento;Sector;Total_Matriculados;Total_Graduados;Total_Inscritos;Total_Admitidos;Total_Primer_Curso;Total_Docentes;Total_Administrativos;Tasa_Graduacion;Tasa_Admision;Tasa_Absorcion;Ratio_Docentes_Matriculados
1203;UNIVERSIDAD DEL VALLE;VALLE DEL CAUCA;OFICIAL;660171;30900.0;219103.0;95527.0;96136;61430.0;29172.0;0.0468;0.436;1.0064;0.0931
1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;SANTANDER;OFICIAL;460619;23925.0;160785.0;68310.0;63081;37785.0;22274.0;0.0519;0.4249;0.9235;0.082
1205;UNIVERSIDAD DE CARTAGENA;BolÃ­var;OFICIAL;434390;30877.0;241620.0;79560.0;72243;26461.0;18621.0;0.0711;0.3293;0.908;0.0609
1206;UNIVERSIDAD DE NARIÃO;NariÃ±o;OFICIAL;302453;13737.0;145043.0;41074.0;36536;19373.0;15532.0;0.0454;0.2832;0.8895;0.0641
1207;UNIVERSIDAD DEL TOLIMA;TOLIMA;OFICIAL;478191;25269.0;191116.0;95646.0;76672;36045.0;10023.0;0.0528;0.5005;0.8016;0.0754
1208;UNIVERSIDAD DEL QUINDIO;QUINDIO;OFICIAL;370301;17092.0;115053.0;65541.0;52446;22789.0;1696.0;0.0462;0.5697;0.8002;0.0615
1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;NORTE DE SANTANDER;OFICIAL;380675;17857.0;75348.0;45635.0;39446;18172.0;7218.0;0.0469;0.6057;0.8644;0.0477
1210;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;NORTE DE SANTANDER;OFICIAL;136400;7014.0;30087.0;18193.0;15855;8297.0;9138.0;0.0514;0.6047;0.8715;0.0608
1212;UNIVERSIDAD DE PAMPLONA;NORTE DE SANTANDER;OFICIAL;515377;25149.0;161326.0;76502.0;71162;35544.0;6432.0;0.0488;0.4742;0.9302;0.069
1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;Magdalena;OFICIAL;486535;25752.0;249813.0;77333.0;68720;28088.0;6283.0;0.0529;0.3096;0.8886;0.0577
1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;CUNDINAMARCA;OFICIAL;230245;13717.0;83281.0;36453.0;32385;16901.0;9356.0;0.0596;0.4377;0.8884;0.0734
1215;UNIVERSIDAD DE CUNDINAMARCA-UDEC;CUNDINAMARCA;OFICIAL;42746;2510.0;15281.0;5579.0;4757;3616.0;1240.0;0.0587;0.3651;0.8527;0.0846
1216;UNIVERSIDAD DE CUNDINAMARCA-UDEC;CUNDINAMARCA;OFICIAL;11605;423.0;2891.0;1939.0;1641;1567.0;687.0;0.0364;0.6707;0.8463;0.135
1217;UNIVERSIDAD DE SUCRE;SUCRE;OFICIAL;129157;6554.0;62158.0;19391.0;15598;10970.0;2308.0;0.0507;0.312;0.8044;0.0849
1218;UNIVERSIDAD DE LA GUAJIRA;GUAJIRA;OFICIAL;87248;16383.0;87435.0;50684.0;44804;27525.0;5084.0;0.1878;0.5797;0.884;0.3155
1218;UNIVERSIDAD DE LA GUAJIRA;La Guajira;OFICIAL;210955;16383.0;87435.0;50684.0;44804;27525.0;5084.0;0.0777;0.5797;0.884;0.1305
